Size of Array,Chunk Size,Serial,Static,Dynamic,Guided
89383,5,35.295117,7.199297,41.408724,5.938556
94691,6,39.02439,7.681766,21.540968,8.431904
6008,4,0.116473,0.026384,0.160129,0.035521
65743,6,18.813921,5.819809,11.055071,2.819515
49933,6,10.706806,1.873065,10.494459,1.873754
16510,4,1.053773,0.258503,1.262642,0.238299
43368,2,7.863976,1.651418,20.428429,1.209268
95442,2,40.092853,11.606375,81.955842,6.258181
56158,3,13.70919,2.575671,22.275411,2.605887
15598,2,0.975046,0.186387,3.018591,0.186109
